"text","sentiment"
"Hey, I need to bring up a serious issue with the trash bins on Oak Street in Leeds. For the past couple of months, they’ve been overflowing nearly every day, and it’s turning our street into a bit of a mess. The smell is awful and it’s attracting pests, which is really frustrating. I flagged this back in October 2023, but nothing’s changed. It’s making the neighbourhood look neglected, and I’d really appreciate it if you could increase the collection frequency or add extra bins. Please sort this out soon. Thanks, Tom","Negative"
"Hi there, just writing about the trash bins on Pine Avenue in Sheffield that have been a nightmare lately. They’re constantly overflowing, and it’s causing a huge mess in our area. The stench is unbearable, and it’s attracting rats, which is just not cool. I mentioned this a while back in November 2022, but nothing’s been done since. It’s really dragging down the vibe of our neighbourhood. Can you please do something about it, like bump up the collections? Really hoping for a quick fix. Cheers, Sarah","Negative"
"Hey, I’ve got a bit of an issue with the constant racket on Baker Street in London. Over the past few months, the non-stop construction and late-night parties have been driving me nuts, making it hard to catch a decent sleep. The noise is just off the charts and it’s really messing up our chill time at home. I’m not sure what’s being done about it, but it’d be great if the council could step in and sort out some noise control measures. Hoping for a quieter night soon. Cheers, Liam","Negative"
"Hi all, just a heads-up about the loud disturbances near Victoria Park in Birmingham. There’s been non-stop noise from events and late-night hangouts that’s seriously affecting our peace and quiet. Even on weekends, it’s like a constant buzz that makes it hard to relax or get proper sleep. I’m really fed up and would love for the council to check things out and maybe set some quiet hours. It’s getting a bit too much for everyone around here. Hope you can help. Thanks, Zoe","Negative"
"Hey, just a quick note about the almost non-existent street lighting on South Road in Nottingham. For months now, it’s been pitch dark in the evenings, which feels pretty unsafe and sketchy. I’ve even had a couple of close calls walking around at night, and my neighbours are feeling the same. It would be great if you could sort out some new lights or fix the old ones soon so we can all feel safer. Please take a look into this ASAP. Cheers, Matt","Negative"
"Hi, I’m writing because the street lighting on West End in Liverpool is seriously lacking. It’s been really dark here for the last couple of months, and walking home at night has become nerve-wracking. A few neighbours and I have noticed that the few lights we have are either broken or too dim. It’d be awesome if you could fix this by repairing or adding new lights so the area feels secure. Hoping for a quick turnaround on this one. Thanks a lot, Emily","Negative"
"Hey, just a quick shout about the flooding on Riverside Drive in Cambridge. After the heavy rains in December 2023, some parts of our street got a bit flooded. It wasn’t disastrous, but it did cause a bit of a hassle for a few folks. I reckon it wouldn’t hurt if the council checked out the drainage system to prevent any bigger issues down the line. Not overly upset, just hoping we can nip it in the bud before it becomes a real problem. Cheers, Oliver","Neutral"
"Hi, writing to mention that we had some minor flooding on Brookside in Exeter after last autumn’s heavy rains. There was a bit of water buildup that made it tricky to get around, but nothing too serious happened. I thought it’d be smart to suggest a review of our drainage here so we can avoid any future headaches. It’s not a massive issue, just something that needs a bit of attention. Hope you can take a look. Thanks, Fiona","Neutral"
"Hey, I’ve got an idea about starting a community garden near Willow Park in Oxford. It could be a laid-back spot where neighbours can come together, plant a few veggies, and just hang out while making our area a bit greener. There are some unused plots that would be perfect for it, and I think it’d bring everyone closer without any fuss. Nothing too serious, just a fun project to brighten up our community. Would love to see the council give it a think. Cheers, Jamie","Neutral"
"Hi all, just suggesting a community garden project around Sunny Park in Brighton. Imagine a casual, shared space where anyone can plant, learn a bit about gardening, and simply enjoy some fresh air. It doesn’t have to be fancy—just a spot for locals to meet and get their hands dirty while making our neighbourhood look nicer. I’m happy to help organise it if needed. Hope the council can consider this chill idea and make it happen. Thanks, Alex","Neutral"
"Hey, I’m really excited about the idea of setting up free Wi-Fi zones around central London, especially near Trafalgar Square. Having free internet on the go would be a game changer for everyone, whether you’re a student, a tourist, or just out and about. I love the idea and think it’d boost connectivity all over the city. I’d be super happy if the council could push this project forward soon. It’s a brilliant step for a modern, connected community. Cheers, Lily","Positive"
"Hi there, just dropping a note to say I’m all for getting free Wi-Fi zones up and running in our town centre, particularly around Piccadilly Gardens in Manchester. It’s such a handy idea that would help everyone stay connected without any hassle. This would be a win for local businesses and a great boost for community life. I really hope the council can speed up this project—it’s about time we got some reliable public Wi-Fi. Many thanks for considering this cool initiative. Best, Charlie","Positive"
"Hey, I wanted to say how brilliant it would be to see electric vehicle charging stations pop up along Main Road in Sheffield. With more of us switching to electric cars these days, having a few spots to charge up would make life so much easier. It’s a smart move for the environment and for keeping up with modern transport needs. I’m really supportive of this idea and hope the council can make it happen soon. Let’s get our community greener together! Cheers, Fiona","Positive"
"Hi, just writing to share my excitement about installing electric vehicle charging stations on the A38 in Birmingham. It’s a top idea that’ll help more folks make the switch to electric vehicles without the hassle of finding a charge point. It’s great to see the push for a greener, more sustainable community, and I’m all in for this initiative. I hope the council can roll this out soon—it’d be a massive win for everyone. Thanks for considering this forward-thinking plan. Best, James","Positive"
"Hey, just a quick suggestion about running some skill development workshops at our community centre in Leeds. It’d be a casual setup where people could learn anything from basic computer skills to handy DIY tips without any pressure. I think it’d be a great way to help everyone pick up new skills and have a bit of fun at the same time. I’m really excited about the potential here and would love to see the council back this idea. It could really boost our community spirit. Cheers, Olivia","Positive"
"Hi, I’m reaching out with a fun idea for some informal skill development workshops at the community hall on King’s Road in Bristol. Imagine relaxed sessions on everything from digital basics to cooking on a budget, where neighbours can learn new stuff and have a laugh. It’d be a great way to bring people together and build up some local talent in a friendly atmosphere. I hope the council can consider this and maybe even get a few volunteers to help run the sessions. Thanks for giving it a thought. Best, Sam","Positive"
"Hey, I’ve got to say I’m pretty frustrated with how the recycling campaign is going on Cedar Road in Glasgow. The bins are constantly overflowing, and there’s no clear info on what goes where. It feels like the whole system is a bit of a mess, and it’s annoying having to deal with all the confusion and extra rubbish everywhere. I really hope the council can get their act together and sort out a proper plan soon. We deserve a cleaner, simpler way to recycle. Cheers, Megan","Negative"
"Hi there, just writing because I’m really fed up with the recycling campaign around the East End in Liverpool. The whole thing seems disorganised—bins are overflowing and there’s zero guidance on proper recycling. It’s disappointing and makes our neighbourhood look pretty neglected. I’m tired of dealing with this mess, and I hope the council steps up its game soon by improving the collection schedules and providing clear instructions. We all deserve better. Thanks for taking this seriously. Best, Tom","Negative"
"Hey there, I just want to say thanks for fixing the road on High Street in Bristol. Since the work started in February 2023, my drive has been much easier. The road is smoother now and there are fewer potholes. I feel safer driving and my car is not taking a beating anymore. The team was friendly and worked fast. I really appreciate all the hard work you do for our community. Please keep fixing other roads too. Thanks for making our streets better and safer. I really appreciate all the hard work you do. Cheers, Dave","Positive"
"Hi, thanks a lot for sorting out Oxford Road in Manchester. I saw the repairs in March 2023 and the road looks much better now. The cracks are gone and the surface is smooth, which makes my daily drive easier and safer. I feel good knowing that our council is taking care of our roads. Everyone in the neighbourhood seems happier with these changes. Please keep up the good work and fix more roads if you can. Many thanks for making our town safer. Cheers, Sarah","Positive"
"Hey, I'm writing because the trash bins on Oak Street in Leeds are always overflowing. Since October 2023, they have not been emptied properly. The bins are full of rubbish and the smell is awful. It makes the street look messy and even attracts pests. I feel upset seeing this every day and really want our neighbourhood to look nice. I think the council should collect the trash more often or add more bins. Please do something soon to keep our street clean. Thanks, Tom","Negative"
"Hi there, I want to complain about the trash bins on Pine Avenue in Sheffield. They are always full and the garbage spills out, making the area dirty and smelly. I first noticed this problem in November 2022 and it still hasn’t been fixed. It’s hard to walk around without stepping on rubbish. I hope the council can fix this by picking up the trash more often or providing extra bins. Our neighbourhood deserves to be clean. Please help sort this out soon. Cheers, Sarah","Negative"
"Hey, I need to tell you about the loud noise on Baker Street in London. For the past few months, there has been constant noise from construction and late-night parties. It makes it hard to sleep and relax at home. The noise is really disturbing and affects my daily life. I think the council should look into this noise problem and do something to lower it. We all need a quiet night to rest properly. I hope this can be fixed soon. Thanks, Liam","Negative"
"Hi all, I'm writing about the noise near Victoria Park in Birmingham. The loud sounds from nearby events and late-night gatherings have been very disruptive. I have trouble sleeping because of the constant noise. This has been a problem for several months and is making life hard for many of us. I really think the council should check this out and find a way to lower the noise levels. A quieter area would be much better for everyone. I hope you can help soon. Thanks, Zoe","Negative"
"Hey, I'm writing about the dark streets on South Road in Nottingham. For a few months now, it has been very dark at night. I feel unsafe walking because the lights are broken or missing. This worries me and my neighbours a lot. I think the council should add more street lights or fix the ones that are out. It would make our street much safer. Please look into this as soon as you can. Thanks, Matt","Negative"
"Hi, I'm writing because the street lights on West End in Liverpool are not working well. The area is very dark at night and it feels unsafe. I have noticed many lights are broken or too dim. This has been a problem for the last couple of months. I hope the council can repair or add new lights soon so we all feel safer. Our community deserves a well-lit area at night. Please help fix this problem. Cheers, Emily","Negative"
"Hey, I'm writing about some flooding on Riverside Drive in Cambridge. After the heavy rain in December 2023, water gathered on the street. It wasn’t too bad, but it did make things a bit difficult for some people. I think it might be a good idea to check the drainage system to avoid bigger problems later. I’m not too upset, just letting you know so it can be looked at. Thanks, Oliver","Neutral"
"Hi, I just wanted to mention that there was a little flooding on Brookside in Exeter after the heavy rains last autumn. The water made it a bit hard to walk, but nothing serious happened. I think it would be smart to check our drainage system so this doesn’t happen again. I’m not angry, just a bit concerned about the future. Please take a look when you can. Cheers, Fiona","Neutral"
"Hey, I have an idea for a community garden near Willow Park in Oxford. A small garden where neighbours can plant flowers and vegetables together would be great. It could be a fun way to meet people and make our area look greener. I think it doesn’t have to be fancy—just a simple spot for everyone. I hope the council can think about this idea and maybe set up a meeting with locals to chat about it. Thanks, Jamie","Neutral"
"Hi, I want to suggest a community garden project in Sunny Park, Brighton. A little garden where people can grow plants and talk together would be nice. It could turn an empty space into a friendly spot for everyone. I believe this idea would make our neighbourhood better and greener. I’m happy to help if needed. Please consider setting up a small meeting to discuss it. Cheers, Alex","Neutral"
"Hey, I love the idea of having free Wi-Fi in our town centre, especially around Trafalgar Square in London. It would be great for students, tourists, and anyone who needs to get online without using their own data. This would help people stay connected easily. I really hope the council can start this project soon. It would make a big difference for all of us. Thanks for thinking about this cool idea. Cheers, Lily","Positive"
"Hi, I'm writing because I think free Wi-Fi zones in Manchester, like around Piccadilly Gardens, would be awesome. It would help people stay online and make life easier for everyone. This idea can also help local businesses and give our city a modern feel. I am very excited about this and hope the council can set it up soon. Thanks for considering this project. Best, Charlie","Positive"
"Hey, I think adding electric vehicle charging stations on Main Road in Sheffield is a great idea. More people are using electric cars these days, and having a place to charge would help a lot. It is good for the environment and makes driving easier. I hope the council can start putting these charging points up soon. This change would really help our community go green. Thanks for listening. Cheers, Fiona","Positive"
"Hi, I wanted to support the idea of putting electric vehicle charging stations on the A38 in Birmingham. With more people switching to electric cars, it makes sense to have places where we can charge up. It would be a smart move for our environment and our future. I am excited about this plan and hope the council can make it happen soon. Please let us know more details when you can. Many thanks, James","Positive"
"Hey, I have a suggestion for some simple skill development workshops at our community centre in Leeds. Classes on basic computer skills or simple DIY projects could help a lot of people. It would be a relaxed way to learn new things and meet neighbours. I think this idea can help many in our community and bring us closer together. I hope the council can set up these workshops soon. Thanks for considering this idea. Cheers, Olivia","Positive"
"Hi, I'm writing to suggest some skill workshops at the community hall on King's Road in Bristol. These could be small classes on everyday skills like cooking, computer use, or crafts. I believe this would help people learn useful things in a fun, relaxed way. It could be a great chance for neighbours to come together and share what they know. I hope the council can help make these workshops happen soon. Thanks a lot. Best, Sam","Positive"
"Hey, I'm really upset about the recycling campaign on Cedar Road in Glasgow. The recycling bins are always overflowing and it is very confusing how to sort the trash. It makes our area look messy and I feel frustrated about it. I think the system is not working well and needs to be fixed soon. Please make it easier for everyone to recycle properly. We all want a cleaner neighbourhood. I hope the council can sort this out soon. Thanks, Megan","Negative"
"Hi, I'm writing because the recycling campaign in the East End of Liverpool is a mess. The bins are always full and there is no clear info on what goes where. This makes the streets look untidy and it is really annoying. I feel like the council is not doing enough to help us recycle better. Please improve the system by checking the collection times and giving simple recycling rules. It would really help our community. Cheers, Tom","Negative"
