Letter_ID,Issue Name,Category,Severity,Frequency,Sentiment,Letter Text,Document Style
16,Homelessness,Homelessness,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Homelessness. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
17,Homelessness,Homelessness,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Homelessness. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
18,Homelessness,Homelessness,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Homelessness. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
19,Homelessness,Homelessness,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Homelessness. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
20,Homelessness,Homelessness,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Homelessness. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
21,Youth Unemployment,Youth Unemployment,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Youth Unemployment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
22,Youth Unemployment,Youth Unemployment,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Youth Unemployment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
23,Youth Unemployment,Youth Unemployment,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Youth Unemployment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
24,Youth Unemployment,Youth Unemployment,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Youth Unemployment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
25,Youth Unemployment,Youth Unemployment,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Youth Unemployment. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
26,Overcrowded Public Transport,Overcrowded Public Transport,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Overcrowded Public Transport. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
27,Overcrowded Public Transport,Overcrowded Public Transport,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Overcrowded Public Transport. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
28,Overcrowded Public Transport,Overcrowded Public Transport,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Overcrowded Public Transport. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
29,Overcrowded Public Transport,Overcrowded Public Transport,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Overcrowded Public Transport. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
30,Overcrowded Public Transport,Overcrowded Public Transport,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Overcrowded Public Transport. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
31,High Cost of Living,High Cost of Living,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding High Cost of Living. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
32,High Cost of Living,High Cost of Living,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding High Cost of Living. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
33,High Cost of Living,High Cost of Living,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding High Cost of Living. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
34,High Cost of Living,High Cost of Living,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding High Cost of Living. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
35,High Cost of Living,High Cost of Living,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding High Cost of Living. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
36,Decline in Local Shops and High Street Businesses,Decline in Local Shops and High Street Businesses,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Decline in Local Shops and High Street Businesses. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
37,Decline in Local Shops and High Street Businesses,Decline in Local Shops and High Street Businesses,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Decline in Local Shops and High Street Businesses. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
38,Decline in Local Shops and High Street Businesses,Decline in Local Shops and High Street Businesses,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Decline in Local Shops and High Street Businesses. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
39,Decline in Local Shops and High Street Businesses,Decline in Local Shops and High Street Businesses,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Decline in Local Shops and High Street Businesses. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
40,Decline in Local Shops and High Street Businesses,Decline in Local Shops and High Street Businesses,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Decline in Local Shops and High Street Businesses. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
41,Underfunded Healthcare Services,Underfunded Healthcare Services,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Underfunded Healthcare Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
42,Underfunded Healthcare Services,Underfunded Healthcare Services,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Underfunded Healthcare Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
43,Underfunded Healthcare Services,Underfunded Healthcare Services,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Underfunded Healthcare Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
44,Underfunded Healthcare Services,Underfunded Healthcare Services,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Underfunded Healthcare Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
45,Underfunded Healthcare Services,Underfunded Healthcare Services,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Underfunded Healthcare Services. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
46,Cybersecurity Threats,Cybersecurity Threats,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Cybersecurity Threats. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
47,Cybersecurity Threats,Cybersecurity Threats,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Cybersecurity Threats. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
48,Cybersecurity Threats,Cybersecurity Threats,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Cybersecurity Threats. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
49,Cybersecurity Threats,Cybersecurity Threats,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Cybersecurity Threats. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
50,Cybersecurity Threats,Cybersecurity Threats,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Cybersecurity Threats. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
51,Food Insecurity,Food Insecurity,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Food Insecurity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
52,Food Insecurity,Food Insecurity,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Food Insecurity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
53,Food Insecurity,Food Insecurity,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Food Insecurity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
54,Food Insecurity,Food Insecurity,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Food Insecurity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
55,Food Insecurity,Food Insecurity,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Food Insecurity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
56,Water Scarcity,Water Scarcity,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Water Scarcity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
57,Water Scarcity,Water Scarcity,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Water Scarcity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
58,Water Scarcity,Water Scarcity,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Water Scarcity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
59,Water Scarcity,Water Scarcity,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Water Scarcity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
60,Water Scarcity,Water Scarcity,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Water Scarcity. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
61,Waste Disposal and Recycling Issues,Waste Disposal and Recycling Issues,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Waste Disposal and Recycling Issues. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
62,Waste Disposal and Recycling Issues,Waste Disposal and Recycling Issues,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Waste Disposal and Recycling Issues. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
63,Waste Disposal and Recycling Issues,Waste Disposal and Recycling Issues,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Waste Disposal and Recycling Issues. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
64,Waste Disposal and Recycling Issues,Waste Disposal and Recycling Issues,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Waste Disposal and Recycling Issues. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
65,Waste Disposal and Recycling Issues,Waste Disposal and Recycling Issues,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Waste Disposal and Recycling Issues. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
66,School Overcrowding,School Overcrowding,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding School Overcrowding. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
67,School Overcrowding,School Overcrowding,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding School Overcrowding. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
68,School Overcrowding,School Overcrowding,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding School Overcrowding. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
69,School Overcrowding,School Overcrowding,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding School Overcrowding. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
70,School Overcrowding,School Overcrowding,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding School Overcrowding. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
71,Potholes and Road Surface Damage,Potholes and Road Surface Damage,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Potholes and Road Surface Damage. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
72,Potholes and Road Surface Damage,Potholes and Road Surface Damage,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Potholes and Road Surface Damage. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
73,Potholes and Road Surface Damage,Potholes and Road Surface Damage,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Potholes and Road Surface Damage. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
74,Potholes and Road Surface Damage,Potholes and Road Surface Damage,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Potholes and Road Surface Damage. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
75,Potholes and Road Surface Damage,Potholes and Road Surface Damage,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Potholes and Road Surface Damage. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
76,Crime Rates in Urban Areas,Crime Rates in Urban Areas,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Crime Rates in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
77,Crime Rates in Urban Areas,Crime Rates in Urban Areas,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Crime Rates in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
78,Crime Rates in Urban Areas,Crime Rates in Urban Areas,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Crime Rates in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
79,Crime Rates in Urban Areas,Crime Rates in Urban Areas,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Crime Rates in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
80,Crime Rates in Urban Areas,Crime Rates in Urban Areas,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Crime Rates in Urban Areas. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
81,Limited Green Spaces,Limited Green Spaces,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Limited Green Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
82,Limited Green Spaces,Limited Green Spaces,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Limited Green Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
83,Limited Green Spaces,Limited Green Spaces,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Limited Green Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
84,Limited Green Spaces,Limited Green Spaces,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Limited Green Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
85,Limited Green Spaces,Limited Green Spaces,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Limited Green Spaces. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
86,Aging Infrastructure,Aging Infrastructure,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Aging Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
87,Aging Infrastructure,Aging Infrastructure,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Aging Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
88,Aging Infrastructure,Aging Infrastructure,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Aging Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
89,Aging Infrastructure,Aging Infrastructure,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Aging Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
90,Aging Infrastructure,Aging Infrastructure,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Aging Infrastructure. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
91,Digital Divide,Digital Divide,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Digital Divide. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
92,Digital Divide,Digital Divide,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Digital Divide. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
93,Digital Divide,Digital Divide,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Digital Divide. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
94,Digital Divide,Digital Divide,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Digital Divide. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
95,Digital Divide,Digital Divide,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Digital Divide. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
96,Rising Energy Costs,Rising Energy Costs,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Rising Energy Costs. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
